genre,danceability
flare.genre.hardstyle,0.52986
flare.genre.classical period,0.2964
flare.genre.minimal tech house,0.767673469388
flare.genre.cumbia sonidera,0.69452
flare.genre.operatic pop,0.30244
flare.genre.meditation,0.14106875
flare.genre.pop house,0.69006
flare.genre.dangdut,0.544
flare.genre.turkish folk,0.552326530612
flare.genre.hands up,0.655285714286
flare.genre.deep disco house,0.792326530612
flare.genre.celtic,0.37422
flare.genre.desi,0.67766
flare.genre.shoegaze,0.43132
flare.genre.tejano,0.63582
flare.genre.boogaloo,0.66112
flare.genre.argentine reggae,0.74498
flare.genre.nwobhm,0.32236
flare.genre.deep hardstyle,0.486020408163
flare.genre.dansband,0.590155555556
flare.genre.indian pop,0.6785
flare.genre.danish pop rock,0.586918367347
flare.genre.japanese r&b,0.592244897959
flare.genre.electropowerpop,0.57768
flare.genre.gothic symphonic metal,0.46724
flare.genre.intelligent dance music,0.55758
flare.genre.healing,0.220106
flare.genre.sleep,0.134353125
flare.genre.finnish hip hop,0.6735
flare.genre.desi hip hop,0.67187755102
flare.genre.schlager,0.552714285714
flare.genre.melbourne bounce,0.74
flare.genre.contemporary jazz,0.44166
flare.genre.drone,0.194384
flare.genre.symphonic metal,0.43284
flare.genre.spanish punk,0.479408163265
flare.genre.filthstep,0.61792
flare.genre.louisiana blues,0.6282
flare.genre.children's music,0.691591836735
flare.genre.cubaton,0.747040816327
flare.genre.velha guarda,0.57256
flare.genre.electroclash,0.662734693878
flare.genre.jangle pop,0.55754
flare.genre.brazilian indie,0.640469387755
flare.genre.chicano rap,0.758183673469
flare.genre.spanish hip hop,0.687591836735
flare.genre.uk drill,0.66866
flare.genre.folk punk,0.50774
flare.genre.k-hop,0.70674
flare.genre.retro electro,0.525285714286
flare.genre.alternative r&b,0.58576
flare.genre.afrobeat,0.62778
flare.genre.polish pop,0.612510204082
flare.genre.opera,0.287225
flare.genre.british folk,0.529325581395
flare.genre.nu-cumbia,0.63602
flare.genre.a cappella,0.551489795918
flare.genre.j-dance,0.606775510204
flare.genre.alternative pop rock,0.5633
flare.genre.j-rap,0.669571428571
flare.genre.boston rock,0.511702
flare.genre.future garage,0.635020408163
flare.genre.crossover thrash,0.3425
flare.genre.mathcore,0.40698
flare.genre.classic danish pop,0.560020408163
flare.genre.german indie,0.62514
flare.genre.glitch,0.534104
flare.genre.coverchill,0.7254
flare.genre.jazz metal,0.42578
flare.genre.environmental,0.1554775
flare.genre.reading,0.662
flare.genre.filmi,0.63838
flare.genre.rumba,0.573895833333
flare.genre.azonto,0.758918367347
flare.genre.levenslied,0.562755102041
flare.genre.polynesian pop,0.74388
flare.genre.glitch hop,0.546979591837
flare.genre.melodipop,0.620541666667
flare.genre.arabesk,0.62812244898
flare.genre.zolo,0.66378
flare.genre.northern soul,0.58262
flare.genre.underground rap,0.72204
flare.genre.spanish new wave,0.60716
flare.genre.vapor pop,0.559386363636
flare.genre.brazilian punk,0.43412
flare.genre.piano blues,0.60638
flare.genre.abstract hip hop,0.667224489796
flare.genre.deep turkish pop,0.69652
flare.genre.christian dance,0.6174
flare.genre.neoclassical,0.319456
flare.genre.norwegian hip hop,0.64892
flare.genre.liedermacher,0.60844
flare.genre.discofox,0.657354166667
flare.genre.australian hip hop,0.66936
flare.genre.folk metal,0.41548
flare.genre.canadian country,0.574130434783
flare.genre.strut,0.746125
flare.genre.breakbeat,0.55698
flare.genre.sludge metal,0.330022
flare.genre.italo dance,0.709857142857
flare.genre.bluegrass,0.5272
flare.genre.new tribe,0.55014
flare.genre.neo-singer-songwriter,0.56902
flare.genre.finnish metal,0.432063829787
flare.genre.danseband,0.600913043478
flare.genre.fluxwork,0.53893877551
flare.genre.hardcore techno,0.58842
flare.genre.jump blues,0.60354
flare.genre.welsh rock,0.480836734694
flare.genre.technical death metal,0.375755102041
flare.genre.german punk,0.506
flare.genre.fingerstyle,0.458673469388
flare.genre.float house,0.740755102041
flare.genre.sleaze rock,0.49364
flare.genre.australian country,0.5943
flare.genre.deep uplifting trance,0.549102040816
flare.genre.alternative ccm,0.442333333333
flare.genre.folklore argentino,0.54764
flare.genre.kiwi rock,0.65614
flare.genre.alternative pop,0.4571
flare.genre.grave wave,0.58852
flare.genre.swamp blues,0.5856
flare.genre.electro jazz,0.73992
flare.genre.rock steady,0.77732
flare.genre.slow game,0.68092
flare.genre.j-metal,0.45488
flare.genre.post-metal,0.296673469388
flare.genre.techno,0.7004
flare.genre.no wave,0.53094
flare.genre.russian pop,0.69656
flare.genre.stomp and flutter,0.4919
flare.genre.portland indie,0.603306122449
flare.genre.dutch rock,0.570918367347
flare.genre.doom metal,0.310302
flare.genre.modern performance,0.258688
flare.genre.pagan black metal,0.282425
flare.genre.black metal,0.28986
flare.genre.jump up,0.50006
flare.genre.pop flamenco,0.683244897959
flare.genre.hard alternative,0.44604
flare.genre.christian metal,0.35872
flare.genre.kirtan,0.386796
flare.genre.neurofunk,0.48126
flare.genre.polish hip hop,0.651265306122
flare.genre.drift,0.168404
flare.genre.dark jazz,0.392058
flare.genre.peruvian rock,0.64964
flare.genre.deathgrind,0.346416
flare.genre.italian indie pop,0.63634
flare.genre.ectofolk,0.5283
flare.genre.symphonic black metal,0.32848
flare.genre.classic italian pop,0.467
flare.genre.turkish hip hop,0.649645833333
flare.genre.cuban rumba,0.63508
flare.genre.brega,0.588040816327
flare.genre.deep norteno,0.686163265306
flare.genre.happy hardcore,0.52918
flare.genre.carnaval,0.628191489362
flare.genre.belgian rock,0.62994
flare.genre.chicago house,0.71668
flare.genre.medieval rock,0.444265306122
flare.genre.irish folk,0.553266666667
flare.genre.jungle,0.52358
flare.genre.chamame,0.61352
flare.genre.scottish rock,0.4827
flare.genre.rap chileno,0.6948
flare.genre.classic chinese pop,0.52272
flare.genre.dark wave,0.53882
flare.genre.progressive uplifting trance,0.5228
flare.genre.orgcore,0.430266666667
flare.genre.austindie,0.60962
flare.genre.idol,0.57204
flare.genre.chicago indie,0.57922
flare.genre.medieval,0.43462
flare.genre.avant-garde jazz,0.4775
flare.genre.eurovision,0.599428571429
flare.genre.bay area indie,0.50668
flare.genre.romantico,0.480128
flare.genre.western swing,0.63348
flare.genre.russian rock,0.6732
flare.genre.japanese city pop,0.61868
flare.genre.new orleans jazz,0.59636
flare.genre.j-idol,0.65212
flare.genre.italian disco,0.7339
flare.genre.harmonica blues,0.60682
flare.genre.arab pop,0.65606
flare.genre.puerto rican rock,0.650591836735
flare.genre.dubstep,0.62484
flare.genre.classic finnish pop,0.618866666667
flare.genre.malaysian pop,0.636244897959
flare.genre.outsider house,0.54476
flare.genre.mexican rock-and-roll,0.48746
flare.genre.portuguese rock,0.58487755102
flare.genre.post-doom metal,0.291282
flare.genre.colombian rock,0.70046
flare.genre.sertanejo tradicional,0.600857142857
flare.genre.brutal death metal,0.36816
flare.genre.soul flow,0.65092
flare.genre.salsa international,0.627163265306
flare.genre.seattle indie,0.46784
flare.genre.avantgarde metal,0.325606
