genre,tempo
instrumental post rock,109.758326531
irish country,122.044040816
brass band,123.62016
classic polish pop,122.693531915
bouncy house,167.23798
vintage swedish pop,111.305191489
timba,107.79798
classic peruvian pop,118.581693878
renaissance,98.91666
acid techno,132.88116
norwegian gospel,107.3817
yugoslav rock,119.039326531
dominican pop,121.33086
classic icelandic pop,109.181489362
arab folk,105.421895833
southern soul blues,103.16646
perth indie,120.63796
neue deutsche welle,137.00377551
swiss rock,123.35596
zouk,144.13536
deep melodic metalcore,124.12946
sega,121.052979592
mod revival,136.19976
pakistani pop,111.35455102
deep soul house,116.85764
french folk pop,122.445416667
deep christian rock,105.37818
c86,130.3451
rio de la plata,118.36
native american,93.9741632653
college a cappella,119.21634
uk dub,128.34122449
jazz bass,114.95436
miami bass,127.62634
ambient idm,114.42162
polish reggae,130.778734694
nordic folk,111.04392
hauntology,118.84166
vienna indie,129.798875
swamp pop,116.1869
modern uplift,134.6314375
catalan folk,124.599104167
chanson quebecois,112.010083333
girl group,118.02784
brazilian composition,110.75575
digital hardcore,122.73604
hip hop tuga,115.935617021
hip hop quebecois,122.150645833
deep neofolk,118.558285714
vintage french electronic,124.862918367
samba-enredo,120.399
vocaloid,140.12344898
italian jazz,104.10608
croatian pop,122.109479167
spanish folk,122.51038
hard minimal techno,132.90522449
vintage tango,116.09678
desert blues,122.01724
garage punk,131.63374
bounce,125.983113636
hiplife,114.8356875
mexican son,127.917291667
german oi,131.208142857
classical guitar,105.061326531
drumfunk,146.166
czech hip hop,123.438391304
appalachian folk,118.526408163
vietnamese pop,121.31162
balkan brass,123.90266
free improvisation,111.263148936
riot grrrl,141.37656
rosary,111.50548
electronica,112.58332
underground latin hip hop,111.791104167
karneval,133.393042553
serialism,94.1646530612
cante flamenco,112.501574468
tico,115.703877551
boogie-woogie,117.62486
morna,114.74896
ecuadoria,117.770387755
traditional rock 'n roll,118.17486
estonian pop,130.19068
tin pan alley,109.50796
german show tunes,119.9696
disco polo,128.61594
portuguese pop,116.52573913
mbalax,122.572530612
harpsichord,101.82958
deep soundtrack,90.92564
polish indie,125.323571429
cyber metal,126.695816327
kids dance party,120.17624
metal guitar,128.35902
thrash core,132.64274
outsider,116.816918367
full on,139.641625
composition d,93.219125
deep liquid,164.062959184
kompa,144.42042
new age piano,100.6578
heavy alternative,141.113959184
jumpstyle,144.95956
electropunk,123.02442
classic czech pop,125.178023256
stomp and whittle,124.5032
slovak hip hop,119.238222222
beats,127.367
brutal deathcore,129.43312
finnish indie,125.853041667
makossa,123.095020408
qawwali,116.05998
kwaito house,121.555673469
witch house,118.19044898
j-ambient,104.771914286
atmospheric post rock,114.97434
zillertal,129.096543478
gothic alternative,140.20622
funk carioca,127.115854167
latvian pop,120.827680851
crust punk,131.41932
oshare kei,127.079145833
blackgaze,125.615938776
psych gaze,119.117163265
grunge pop,136.892714286
orquesta tropical,130.447204082
ghazal,104.12188
classic venezuelan pop,126.767163265
rva indie,122.26446
irish indie,108.52442
denver indie,125.51204
world chill,117.550102041
deep gothic post-punk,137.23574
ethiopian pop,120.511061224
deep rai,113.112652174
electro dub,125.996478261
traditional ska,131.24574
hungarian hip hop,112.322022222
fake,118.05378
beatdown,122.33626
deep acoustic pop,121.905
drone folk,113.947265306
canadian hip hop,106.168204082
louisville indie,124.59634
dirty texas rap,129.537571429
neofolk,115.551979592
neo-rockabilly,128.58784
judaica,123.4658
deep flow,123.560157895
japanese psychedelic,118.1364
ragtime,117.143714286
anarcho-punk,133.62512
workout,127.55864
austrian hip hop,119.388270833
guidance,107.66142
traditional british folk,113.031979592
calypso,113.89492
orquesta tipica,119.1728
swiss hip hop,121.9544375
geek rock,122.022265306
deep adult standards,106.96762
blaskapelle,127.384531915
classic french pop,118.1404
nwothm,127.917306122
deep smooth jazz,112.88748
deep dance pop,116.87255102
dark black metal,125.698346939
abstract,113.3015
tone,94.3976041667
neo-synthpop,127.13554
minimal melodic techno,123.065212766
nerdcore,115.58848
ukulele,118.3287
kurdish folk,122.07622449
ukrainian rock,117.627244898
kayokyoku,110.148673469
new beat,127.68275
lithumania,115.961625
modern southern rock,122.34124
euroska,132.7163125
k-rock,122.152122449
classic soundtrack,101.78284
zouglou,123.942816327
australian indie,127.14204
indie emo,122.828816327
lo star,125.2845
atmospheric post-metal,118.21042
broken beat,111.29654
acousmatic,95.44214
minimal wave,126.679571429
solipsynthm,118.426428571
swedish prog,117.95746
alternative americana,126.941081633
darkstep,151.701755102
nl folk,127.27582
marching band,115.892795918
lounge house,123.135234043
semba,120.721958333
underground power pop,130.3165
psychedelic blues-rock,128.065875
crack rock steady,118.93602
vegan straight edge,114.594734694
motivation,94.58636
schranz,125.722836735
traditional swing,125.669291667
chalga,124.649591837
musiikkia lapsille,122.576478261
footwork,127.08812
breakcore,112.282428571
yoik,114.898
leeds indie,125.589571429
tribute,122.85
funky breaks,114.950510204
indian classical,123.329916667
didgeridoo,115.529744681
classic dutch pop,129.364897959
slc indie,132.7521
deep contemporary country,125.769530612
danish indie,117.442833333
belgian indie,119.394833333
jazz brass,107.827612245
deep brazilian pop,108.855042553
corrosion,128.33102
black death,119.73822
japanese jazztronica,131.00022
electro trash,122.253469388
classic afrobeat,108.4649
gothic americana,127.307244898
slavic metal,127.9765
dark hardcore,169.188065217
scratch,111.591714286
traditional scottish folk,131.928918367
hebrew pop,119.29532
garage punk blues,122.88298
hindustani classical,121.124541667
indie singer-songwriter,118.50296
deep german punk,125.738934783
deep disco,120.68254
electronicore,131.312795918
zydeco,129.63808
usbm,129.0113
string folk,106.945061224
beach music,122.656652174
luk thung,121.973795918
michigan indie,122.78286
south african jazz,119.95162
islamic recitation,114.435183673
spanish invasion,123.414375
russian alternative,132.788625
deep orchestral,105.21012766
mallet,127.455104167
dark ambient,92.3784285714
ragga jungle,143.435166667
progressive alternative,117.52316
fast melodic punk,144.100673913
martial industrial,121.706131579
deep discofox,134.164265306
enka,109.291375
kwaito,117.087795918
porro,119.3453
power violence,123.01804
finnish hardcore,122.874704545
neurostep,141.281479167
classic russian pop,132.193897959
vapor house,133.340061224
deep melodic hard rock,134.519
downtempo fusion,125.3462
ostrock,121.878695652
spanish classical,112.348744681
monastic,99.5909387755
string band,122.99436
ambient psychill,127.262877551
faroese pop,123.854346939
musica per bambini,128.325666667
rebetiko,115.9325
romanian rock,120.058659574
panpipe,110.7670625
afrikaans,127.355041667
abstract idm,121.324979592
deep psychobilly,129.45058
ugandan pop,117.71352
bass trip,115.15726
power electronics,115.73694
french punk,135.578122449
library music,120.413265306
j-reggae,116.162108696
russian folk,116.09222
musique pour enfants,118.952918367
hard house,135.787958333
concert piano,91.3796122449
trash rock,126.669208333
wind ensemble,100.4216
deep liquid bass,157.358446809
deep jazz guitar,109.882510204
norwegian jazz,108.705358974
neo metal,122.637591837
gospel reggae,113.956791667
traditional soul,125.73324
persian traditional,110.38034
coupe decale,127.291204082
italian progressive rock,126.963102041
manele,140.163787234
magyar,122.442113636
melodic progressive metal,122.510456522
japanoise,117.306326531
bay area hip hop,115.01768
german ccm,118.960326087
bossa nova jazz,114.703166667
deep opera,98.0779111111
greek indie,119.780020408
consort,104.754714286
chaotic black metal,127.136604167
classic schlager,125.232456522
rap metalcore,133.258
slam death metal,127.620041667
deep ambient,93.7916
nz indie,122.978604167
polyphony,101.230836735
deep progressive trance,128.5241875
galego,126.261125
indie fuzzpop,121.129387755
experimental psych,120.59366
iskelma,116.676574468
italian folk,120.617130435
tekno,140.146658537
shanty,116.33994
dark psytrance,144.5684
breton folk,106.3715
jig and reel,111.756653061
military band,101.846770833
technical brutal death metal,128.326428571
armenian folk,119.6173
gamecore,115.47206
tzadik,110.7285
neo-pagan,114.08416
go-go,137.839632653
deep folk metal,130.492604167
contemporary composition,108.587083333
deep canadian indie,137.33168
liturgical,102.833836735
speedcore,132.082630435
depressive black metal,126.022693878
accordion,126.918319149
skinhead reggae,117.103095238
bulgarian rock,117.030106383
harp,99.3146956522
ambient fusion,122.02325
funeral doom,116.915340909
pipe band,118.474428571
remix,141.44144898
