,genre,energy
892,shimmer psych,0.59972
893,musica nativista,0.805595238095
894,albanian pop,0.704
895,horrorcore,0.80222
896,basque rock,0.839170212766
897,violin,0.109646363636
898,nu skool breaks,0.75454
899,melodic power metal,0.89158
900,turkish classical,0.365091836735
901,highlife,0.74126
902,belly dance,0.73518
903,string quartet,0.232972
904,classic belgian pop,0.592040816327
905,indie psych-pop,0.604469387755
906,southern gospel,0.472551020408
907,chiptune,0.71464
908,soukous,0.80366
909,lds,0.141197346939
910,instrumental post rock,0.33913877551
911,irish country,0.452142857143
912,brass band,0.65788
913,classic polish pop,0.534553191489
914,bouncy house,0.92766
915,vintage swedish pop,0.449038297872
916,timba,0.845
917,classic peruvian pop,0.616979591837
918,renaissance,0.107903
919,acid techno,0.700144
920,norwegian gospel,0.44542
921,yugoslav rock,0.727183673469
922,dominican pop,0.53296
923,classic icelandic pop,0.489872340426
924,arab folk,0.39784375
925,southern soul blues,0.5653
926,perth indie,0.70212
927,neue deutsche welle,0.785183673469
928,swiss rock,0.618512
929,zouk,0.7824
930,deep melodic metalcore,0.96946
931,sega,0.640346938776
932,mod revival,0.7462
933,pakistani pop,0.599979591837
934,deep soul house,0.6254
935,french folk pop,0.547645833333
936,deep christian rock,0.444164
937,c86,0.69102
938,rio de la plata,0.620208333333
939,native american,0.188923061224
940,college a cappella,0.501104
941,uk dub,0.600346938776
942,jazz bass,0.480664
943,miami bass,0.67172
944,ambient idm,0.424538
945,polish reggae,0.73193877551
946,nordic folk,0.494596
947,hauntology,0.4532354
948,vienna indie,0.542125
949,swamp pop,0.56204
950,modern uplift,0.786666666667
951,catalan folk,0.49558125
952,chanson quebecois,0.606833333333
953,girl group,0.64166
954,brazilian composition,0.131764375
955,digital hardcore,0.74854
956,hip hop tuga,0.605404255319
957,hip hop quebecois,0.7280625
958,deep neofolk,0.503130612245
959,vintage french electronic,0.592089795918
960,samba-enredo,0.796326086957
961,vocaloid,0.865020408163
962,italian jazz,0.203128
963,croatian pop,0.725
964,spanish folk,0.537682
965,hard minimal techno,0.727142857143
966,vintage tango,0.32652
967,desert blues,0.51862
968,garage punk,0.91314
969,bounce,0.798068181818
970,hiplife,0.70225
971,mexican son,0.543375
972,german oi,0.896673469388
973,classical guitar,0.107620612245
974,drumfunk,0.787530612245
975,czech hip hop,0.713782608696
976,appalachian folk,0.332518367347
977,vietnamese pop,0.55762
978,balkan brass,0.64434
979,free improvisation,0.369555957447
980,riot grrrl,0.86778
981,rosary,0.200128
982,electronica,0.558176
983,underground latin hip hop,0.739083333333
984,karneval,0.858276595745
985,serialism,0.0832684693878
986,cante flamenco,0.445319148936
987,tico,0.669836734694
988,boogie-woogie,0.454754
989,morna,0.47352
990,ecuadoria,0.687530612245
991,traditional rock 'n roll,0.5653
992,estonian pop,0.67684
993,tin pan alley,0.235828
994,german show tunes,0.4228625
995,disco polo,0.82558
996,portuguese pop,0.786956521739
997,mbalax,0.699075510204
998,harpsichord,0.140828
999,deep soundtrack,0.161899
1000,polish indie,0.712816326531
1001,cyber metal,0.938591836735
1002,kids dance party,0.564416
1003,metal guitar,0.7684
1004,thrash core,0.89922
1005,outsider,0.427554285714
1006,full on,0.887041666667
1007,composition d,0.0715858333333
1008,deep liquid,0.831734693878
1009,kompa,0.78746
1010,new age piano,0.146194
1011,heavy alternative,0.837653061224
1012,jumpstyle,0.91144
1013,electropunk,0.6766
1014,classic czech pop,0.634348837209
1015,stomp and whittle,0.609922
1016,slovak hip hop,0.7458
1017,beats,0.550836734694
1018,brutal deathcore,0.95132
1019,finnish indie,0.58225
1020,makossa,0.845428571429
1021,qawwali,0.59332
1022,kwaito house,0.643489795918
1023,witch house,0.588857142857
1024,j-ambient,0.228638857143
1025,atmospheric post rock,0.538966
1026,zillertal,0.744152173913
