,genre,instrumentalness
754,canterbury scene,0.389276428
755,musica para ninos,0.013780316
756,romanian pop,0.015801946
757,chill lounge,0.605771428571
758,rock catala,0.025872117234
759,free jazz,0.304390619
760,argentine indie,0.0432626804082
761,deep comedy,3.4624e-06
762,twee pop,0.1042729296
763,classic garage rock,0.0417558457143
764,volksmusik,0.0429203747826
765,post-post-hardcore,0.0300467928
766,electro-industrial,0.2679791968
767,gypsy jazz,0.650318503
768,oi,0.067337124
769,latin electronica,0.20408612
770,straight edge,0.1375420844
771,christian hardcore,0.0248208426
772,kabarett,0.0003273
773,kraut rock,0.684726568
774,steampunk,0.0620102106
775,singaporean pop,0.000529333469388
776,swedish hard rock,0.05562769
777,world fusion,0.5525041506
778,slovak pop,0.0214226432653
779,dansktop,0.0480331469388
780,surf music,0.4469986712
781,thai idol,0.0006026462
782,gabba,0.144592335417
783,gothic rock,0.28619789898
784,chaotic hardcore,0.3256958602
785,nu age,0.8787
786,bhangra,0.02519291
787,canzone napoletana,0.0123670536
788,retro metal,0.366875030204
789,cello,0.68995066
790,mandible,0.792086
791,ballroom,0.641012226
792,ye ye,0.0130521108
793,tango,0.429213789796
794,swedish jazz,0.701393867347
795,dixieland,0.1813352866
796,old-time,0.15306224625
797,laboratorio,0.273199282653
798,mashup,0.0377832312245
799,christelijk,0.0916568071739
800,freakbeat,0.0603564772
801,punjabi,0.0320858995918
802,alternative roots rock,0.1241742296
803,futurepop,0.1183715704
804,vancouver indie,0.1006672054
805,christian punk,0.0115504986
806,choro,0.1579840264
807,african rock,0.0543037366
808,deep talent show,0.003787125
809,e6fi,0.193621446
810,drone metal,0.693984285714
811,nordic house,0.245810778571
812,electro bailando,0.0014443488
813,early music,0.428005424
814,psychobilly,0.0730449608
815,hawaiian,0.2716956956
816,horror punk,0.1184451102
817,andean,0.2032579654
818,russian hip hop,0.00131531938776
819,detroit techno,0.653928723469
820,progressive psytrance,0.71884122449
821,comedy rock,0.000117515102041
822,thai pop,0.0006057774
823,psychill,0.623254174286
824,orchestral,0.738885576
825,tribal house,0.521563049375
826,atmospheric black metal,0.67700377
827,progressive trance house,0.61347759375
828,deep indian pop,0.00229016755102
829,jazz trio,0.718025832
830,classical performance,0.727408648
831,persian pop,0.0013741608
832,fado,0.10375868
833,classical piano,0.766289914286
834,uk hip hop,0.0629266053061
835,voidgaze,0.512209554
836,danish hip hop,0.0168304969388
837,zouk riddim,0.005801435
838,israeli rock,0.0019865164
839,czech rock,0.0669537912245
840,swedish reggae,0.0114297076596
841,exotica,0.5645854152
842,praise,1.18404e-05
843,theme,0.613323294
844,hungarian rock,0.0573432022
845,athens indie,0.150114435
846,neo-trad metal,0.0785509236
847,dub techno,0.77092114898
848,norwegian metal,0.359255877551
849,venezuelan rock,0.0314595756
850,choral,0.64661353913
851,aggrotech,0.2371778786
852,neo-progressive,0.138704143265
853,turkish alternative,0.014422220625
854,hungarian pop,0.0341678856818
855,classic colombian pop,0.0016702596
856,kizomba,0.0204272028
857,avant-garde,0.65392744
858,columbus ohio indie,0.0418718277551
859,czech folk,0.00052733212766
860,anime score,0.7073775566
861,visual kei,0.035009262
862,mizrahi,0.0001125658
863,barnemusikk,0.012388806
864,abstract beats,0.326557873061
865,italian metal,0.0497666584
866,popgaze,0.368484520408
867,indian folk,0.004603163
868,deep latin alternative,0.190596404167
869,power-pop punk,0.0512215298
870,ok indie,0.0645556986
871,deep chill,0.690973958333
872,classic turkish pop,0.0354792822
873,french movie tunes,0.0204034144898
874,bubble trance,0.568387293878
875,goregrind,0.544124285714
876,j-indie,0.0401191582
877,vintage italian soundtrack,0.7431388554
878,melodic hard rock,0.03129798
879,deep tech house,0.688445833333
880,dark cabaret,0.0695394162
881,shibuya-kei,0.181422854583
882,deep pop punk,0.00314747708333
883,folkmusik,0.247698539556
884,power blues-rock,0.02965381
885,rai,0.000836928571429
886,p funk,0.0354353678
887,swedish punk,0.04333047
888,russian punk,0.0297209014
889,spanish reggae,0.021805499
890,black thrash,0.4589588588
891,fidget house,0.257096761224
892,shimmer psych,0.2115856422
893,musica nativista,0.000181182142857
894,albanian pop,0.006140065
895,horrorcore,0.0001087116
896,basque rock,0.0360484512766
897,violin,0.682911427273
898,nu skool breaks,0.528052745
899,melodic power metal,0.063342115
900,turkish classical,0.252318999796
901,highlife,0.0737257826
902,belly dance,0.1122152746
903,string quartet,0.26288122
904,classic belgian pop,0.0050349477551
905,indie psych-pop,0.19129796551
906,southern gospel,0.0125027589796
907,chiptune,0.4662964432
908,soukous,0.00335084
909,lds,0.527276795918
910,instrumental post rock,0.865346938776
911,irish country,0.0011308622449
912,brass band,0.533689182
913,classic polish pop,0.0035656087234
914,bouncy house,0.059031754
915,vintage swedish pop,0.0212931659574
916,timba,0.0010572306
917,classic peruvian pop,0.0657177708163
918,renaissance,0.3901647572
919,acid techno,0.834702
920,norwegian gospel,0.0362057636
921,yugoslav rock,0.0105736485714
922,dominican pop,0.0202117068
923,classic icelandic pop,0.0558333551064
924,arab folk,0.181904832708
925,southern soul blues,0.001457315
926,perth indie,0.0391698638
927,neue deutsche welle,0.116498483061
928,swiss rock,0.2620148858
929,zouk,0.0035105128
930,deep melodic metalcore,0.0140946212
931,sega,0.0191332926531
932,mod revival,0.0398883104
933,pakistani pop,0.000557959795918
934,deep soul house,0.65165112
935,french folk pop,0.0122740175
936,deep christian rock,0.033014694
937,c86,0.2358985052
938,rio de la plata,0.0016517
939,native american,0.598840365306
940,college a cappella,0.0001766548
941,uk dub,0.176632361224
942,jazz bass,0.4882664706
943,miami bass,0.0400467954
944,ambient idm,0.721952836
945,polish reggae,0.0436806057143
946,nordic folk,0.5543368678
947,hauntology,0.628892222
948,vienna indie,0.0997123510417
949,swamp pop,0.021320903
950,modern uplift,0.00382678520833
951,catalan folk,0.0669512872917
