,genre,loudness
878,melodic hard rock,-5.78324
879,deep tech house,-7.76070833333
880,dark cabaret,-7.885
881,shibuya-kei,-8.34397916667
882,deep pop punk,-4.24320833333
883,folkmusik,-11.2137111111
884,power blues-rock,-6.68644
885,rai,-7.117
886,p funk,-9.38846
887,swedish punk,-4.12513043478
888,russian punk,-7.02254
889,spanish reggae,-6.75296
890,black thrash,-6.523
891,fidget house,-5.41026530612
892,shimmer psych,-8.31256
893,musica nativista,-5.26516666667
894,albanian pop,-6.26568
895,horrorcore,-5.98974
896,basque rock,-6.52972340426
897,violin,-22.4276363636
898,nu skool breaks,-6.66574
899,melodic power metal,-5.39776
900,turkish classical,-11.4820612245
901,highlife,-6.7231
902,belly dance,-6.85694
903,string quartet,-11.38142
904,classic belgian pop,-8.01512244898
905,indie psych-pop,-7.68412244898
906,southern gospel,-7.56481632653
907,chiptune,-7.31278
908,soukous,-5.64238
909,lds,-17.1692857143
910,instrumental post rock,-14.8953673469
911,irish country,-10.098122449
912,brass band,-7.51938
913,classic polish pop,-9.63159574468
914,bouncy house,-3.12988
915,vintage swedish pop,-10.3538085106
916,timba,-4.96944
917,classic peruvian pop,-7.9943877551
918,renaissance,-23.7131
919,acid techno,-10.42876
920,norwegian gospel,-8.93784
921,yugoslav rock,-6.57153061224
922,dominican pop,-8.4739
923,classic icelandic pop,-9.4099787234
924,arab folk,-11.0177083333
925,southern soul blues,-7.55344
926,perth indie,-6.89658
927,neue deutsche welle,-7.828
928,swiss rock,-8.6197
929,zouk,-6.84948
930,deep melodic metalcore,-3.03088
931,sega,-7.96642857143
932,mod revival,-8.17768
933,pakistani pop,-7.44544897959
934,deep soul house,-10.73744
935,french folk pop,-8.54652083333
936,deep christian rock,-10.838
937,c86,-9.5222
938,rio de la plata,-7.27095833333
939,native american,-21.5769387755
940,college a cappella,-8.44072
941,uk dub,-8.05997959184
942,jazz bass,-12.99932
943,miami bass,-10.06222
944,ambient idm,-13.69506
945,polish reggae,-6.55220408163
946,nordic folk,-13.47498
947,hauntology,-14.2991
948,vienna indie,-8.8234375
949,swamp pop,-8.8372
950,modern uplift,-4.76829166667
951,catalan folk,-10.7037083333
952,chanson quebecois,-8.1183125
953,girl group,-8.16608
954,brazilian composition,-21.4861666667
955,digital hardcore,-6.81438
956,hip hop tuga,-7.91929787234
957,hip hop quebecois,-6.23704166667
958,deep neofolk,-9.03485714286
959,vintage french electronic,-11.1061428571
960,samba-enredo,-8.0557173913
961,vocaloid,-4.10275510204
962,italian jazz,-18.42238
963,croatian pop,-6.28689583333
964,spanish folk,-8.60474
965,hard minimal techno,-7.16485714286
966,vintage tango,-9.33078
967,desert blues,-10.4271
968,garage punk,-3.92896
969,bounce,-5.40711363636
970,hiplife,-5.51927083333
971,mexican son,-7.66679166667
972,german oi,-4.68918367347
973,classical guitar,-23.8881020408
974,drumfunk,-6.97646938776
975,czech hip hop,-6.31276086957
976,appalachian folk,-12.8549387755
977,vietnamese pop,-6.58538
978,balkan brass,-7.24414
979,free improvisation,-16.2426170213
980,riot grrrl,-5.00426
