,genre,speechiness
672,romantico,0.031388
673,western swing,0.049226
674,russian rock,0.131022
675,japanese city pop,0.052406
676,new orleans jazz,0.073662
677,j-idol,0.071348
678,italian disco,0.068292
679,harmonica blues,0.05646
680,arab pop,0.062948
681,puerto rican rock,0.171346938776
682,dubstep,0.116764
683,classic finnish pop,0.0497355555556
684,malaysian pop,0.0424959183673
685,outsider house,0.069462
686,mexican rock-and-roll,0.036656
687,portuguese rock,0.0918653061224
688,post-doom metal,0.062506
689,colombian rock,0.0792
690,sertanejo tradicional,0.0437510204082
691,brutal death metal,0.128428
692,soul flow,0.223508
693,salsa international,0.0517795918367
694,seattle indie,0.032476
695,avantgarde metal,0.05848
696,hardcore,0.100196
697,nasheed,0.0396224489796
698,gbvfi,0.04962
699,psychedelic doom,0.057734
700,celtic punk,0.066582
701,grindcore,0.112183673469
702,quebecois,0.047942
703,austropop,0.080184
704,brazilian ccm,0.0455755102041
705,funky tech house,0.072496
706,riddim,0.222693877551
707,psychedelic trance,0.055448
708,speed garage,0.0771145833333
709,baile funk,0.157408163265
710,classic russian rock,0.141536734694
711,freestyle,0.0635744680851
712,j-poprock,0.065648
713,italian pop rock,0.0582326530612
714,ebm,0.055436
715,math pop,0.049606
716,barnmusik,0.433124489796
717,spanish noise pop,0.0404833333333
718,warm drone,0.0407795918367
719,soca,0.13557
720,nursery,0.075692
721,ethereal wave,0.039604
722,nintendocore,0.088502
723,african gospel,0.07035
724,garage pop,0.052398
725,world meditation,0.041138
726,destroy techno,0.074434
727,balearic,0.053512244898
728,progressive deathcore,0.152772
729,math rock,0.06425
730,laiko,0.05419
731,acid house,0.0575163265306
732,albuquerque indie,0.035706
733,mande pop,0.051822
734,polish punk,0.0599541666667
735,russiavision,0.070034
736,deep latin christian,0.03543
737,indie dream pop,0.04554
738,kindermusik,0.0584727272727
739,emo punk,0.0556902439024
740,entehno,0.051974
741,bassline,0.129336
742,k-indie,0.06502
743,classic finnish rock,0.04381875
744,substep,0.04119
745,electrofox,0.180488
746,drill and bass,0.0661836734694
747,turbo folk,0.0735306122449
748,british alternative rock,0.079808
749,ambeat,0.078906
750,ska revival,0.0775346938776
751,deep minimal techno,0.0628288888889
752,bmore,0.134459183673
753,british indie rock,0.04716
754,canterbury scene,0.046844
755,musica para ninos,0.066088
756,romanian pop,0.05291
757,chill lounge,0.0407530612245
758,rock catala,0.0545978723404
759,free jazz,0.04483
760,argentine indie,0.0487755102041
761,deep comedy,0.91462
762,twee pop,0.050308
763,classic garage rock,0.0557734693878
764,volksmusik,0.0457652173913
765,post-post-hardcore,0.094494
766,electro-industrial,0.05557
767,gypsy jazz,0.063194
768,oi,0.08314
769,latin electronica,0.076726
770,straight edge,0.110336
771,christian hardcore,0.143458
772,kabarett,0.445223404255
773,kraut rock,0.04182
774,steampunk,0.086028
775,singaporean pop,0.0441408163265
776,swedish hard rock,0.0664897959184
777,world fusion,0.06107
778,slovak pop,0.0784979591837
779,dansktop,0.0400081632653
780,surf music,0.051198
781,thai idol,0.045784
782,gabba,0.138922916667
783,gothic rock,0.0532408163265
784,chaotic hardcore,0.106482
785,nu age,0.042016
786,bhangra,0.122492
787,canzone napoletana,0.065994
788,retro metal,0.0568795918367
789,cello,0.052796
790,mandible,0.04812
791,ballroom,0.032098
792,ye ye,0.047204
793,tango,0.0557204081633
794,swedish jazz,0.0410306122449
795,dixieland,0.078892
796,old-time,0.0480541666667
797,laboratorio,0.0579142857143
798,mashup,0.129032653061
799,christelijk,0.0403630434783
800,freakbeat,0.05735
801,punjabi,0.128155102041
802,alternative roots rock,0.052688
803,futurepop,0.06803
804,vancouver indie,0.048498
805,christian punk,0.054774
806,choro,0.068098
807,african rock,0.235236
808,deep talent show,0.035862
809,e6fi,0.061976
810,drone metal,0.0471265306122
811,nordic house,0.107083673469
812,electro bailando,0.095364
813,early music,0.043918
814,psychobilly,0.070636
815,hawaiian,0.0449
816,horror punk,0.06862
817,andean,0.062586
818,russian hip hop,0.18652244898
819,detroit techno,0.0557224489796
820,progressive psytrance,0.0691510204082
821,comedy rock,0.199320408163
822,thai pop,0.043018
823,psychill,0.0578102040816
824,orchestral,0.044892
825,tribal house,0.0633541666667
826,atmospheric black metal,0.070008
827,progressive trance house,0.0558791666667
828,deep indian pop,0.073487755102
829,jazz trio,0.044486
830,classical performance,0.044368
831,persian pop,0.113084
832,fado,0.039596
833,classical piano,0.0411571428571
834,uk hip hop,0.240224489796
835,voidgaze,0.064978
836,danish hip hop,0.167940816327
837,zouk riddim,0.082556
838,israeli rock,0.056294
839,czech rock,0.0600204081633
840,swedish reggae,0.166961702128
841,exotica,0.045762
842,praise,0.082092
843,theme,0.042824
844,hungarian rock,0.077894
845,athens indie,0.04574
846,neo-trad metal,0.087616
847,dub techno,0.0491897959184
848,norwegian metal,0.0644326530612
849,venezuelan rock,0.052864
850,choral,0.0441347826087
851,aggrotech,0.050762
852,neo-progressive,0.0434857142857
853,turkish alternative,0.038525
854,hungarian pop,0.0913704545455
855,classic colombian pop,0.061172
856,kizomba,0.110968
857,avant-garde,0.044932
858,columbus ohio indie,0.106416326531
859,czech folk,0.0507106382979
860,anime score,0.045708
861,visual kei,0.083872
862,mizrahi,0.052306
863,barnemusikk,0.16051
864,abstract beats,0.189920408163
865,italian metal,0.05196
866,popgaze,0.0470040816327
867,indian folk,0.08524
868,deep latin alternative,0.06129375
869,power-pop punk,0.073616
870,ok indie,0.069236
871,deep chill,0.0426833333333
872,classic turkish pop,0.062216
873,french movie tunes,0.046287755102
874,bubble trance,0.0514306122449
875,goregrind,0.137189795918
876,j-indie,0.064568
877,vintage italian soundtrack,0.043766
878,melodic hard rock,0.052138
879,deep tech house,0.0544145833333
880,dark cabaret,0.06209
881,shibuya-kei,0.0565520833333
882,deep pop punk,0.07623125
883,folkmusik,0.0428622222222
884,power blues-rock,0.051878
885,rai,0.0608244897959
886,p funk,0.104364
887,swedish punk,0.0746847826087
888,russian punk,0.070862
889,spanish reggae,0.192054
890,black thrash,0.08035
891,fidget house,0.13747755102
892,shimmer psych,0.066546
893,musica nativista,0.0737642857143
894,albanian pop,0.122338
895,horrorcore,0.182132
896,basque rock,0.0838595744681
897,violin,0.0429954545455
898,nu skool breaks,0.0801
899,melodic power metal,0.115012
900,turkish classical,0.0498204081633
901,highlife,0.091784
902,belly dance,0.063306
903,string quartet,0.038718
904,classic belgian pop,0.0452632653061
905,indie psych-pop,0.054387755102
906,southern gospel,0.0327204081633
907,chiptune,0.05695
908,soukous,0.116438
909,lds,0.0417918367347
910,instrumental post rock,0.0403795918367
911,irish country,0.036787755102
912,brass band,0.096112
913,classic polish pop,0.0575872340426
914,bouncy house,0.134724
915,vintage swedish pop,0.0714085106383
916,timba,0.061844
917,classic peruvian pop,0.0693367346939
918,renaissance,0.044762
919,acid techno,0.088004
920,norwegian gospel,0.03635
921,yugoslav rock,0.0749081632653
922,dominican pop,0.057902
923,classic icelandic pop,0.0558361702128
924,arab folk,0.04506875
925,southern soul blues,0.059238
926,perth indie,0.051916
927,neue deutsche welle,0.0999346938776
928,swiss rock,0.051088
929,zouk,0.05163
930,deep melodic metalcore,0.151792
931,sega,0.0825306122449
932,mod revival,0.07037
933,pakistani pop,0.0483183673469
934,deep soul house,0.074888
935,french folk pop,0.0722333333333
936,deep christian rock,0.034224
937,c86,0.046716
938,rio de la plata,0.0753
939,native american,0.0532897959184
940,college a cappella,0.061976
941,uk dub,0.143042857143
942,jazz bass,0.072124
943,miami bass,0.168132
944,ambient idm,0.046604
945,polish reggae,0.0948204081633
946,nordic folk,0.049674
947,hauntology,0.065882
948,vienna indie,0.0683583333333
949,swamp pop,0.046706
950,modern uplift,0.0576895833333
951,catalan folk,0.0785833333333
952,chanson quebecois,0.0468583333333
953,girl group,0.05679
954,brazilian composition,0.0452625
955,digital hardcore,0.0945734693878
956,hip hop tuga,0.159874468085
957,hip hop quebecois,0.171602083333
958,deep neofolk,0.0471959183673
959,vintage french electronic,0.0441040816327
960,samba-enredo,0.150467391304
961,vocaloid,0.0651795918367
962,italian jazz,0.041936
963,croatian pop,0.0789
964,spanish folk,0.034698
965,hard minimal techno,0.0964714285714
966,vintage tango,0.051676
967,desert blues,0.05788
968,garage punk,0.081284
969,bounce,0.19295
970,hiplife,0.133766666667
971,mexican son,0.0927020833333
972,german oi,0.0873265306122
973,classical guitar,0.0536244897959
974,drumfunk,0.0734979591837
975,czech hip hop,0.218360869565
976,appalachian folk,0.0409346938776
977,vietnamese pop,0.035982
978,balkan brass,0.086378
979,free improvisation,0.0608021276596
980,riot grrrl,0.066026
981,rosary,0.035774
982,electronica,0.066222
983,underground latin hip hop,0.249022916667
984,karneval,0.0699425531915
985,serialism,0.0495448979592
986,cante flamenco,0.0999978723404
987,tico,0.0673204081633
988,boogie-woogie,0.058876
989,morna,0.055346
990,ecuadoria,0.0568612244898
991,traditional rock 'n roll,0.049814
992,estonian pop,0.056078
993,tin pan alley,0.054428
994,german show tunes,0.0659675
995,disco polo,0.064814
996,portuguese pop,0.0617304347826
997,mbalax,0.0586102040816
998,harpsichord,0.042424
999,deep soundtrack,0.045288
1000,polish indie,0.0581755102041
1001,cyber metal,0.0905612244898
1002,kids dance party,0.172768
1003,metal guitar,0.056732
1004,thrash core,0.124124
1005,outsider,0.065293877551
1006,full on,0.05593125
1007,composition d,0.0421979166667
1008,deep liquid,0.050812244898
1009,kompa,0.041556
1010,new age piano,0.046176
1011,heavy alternative,0.0602632653061
1012,jumpstyle,0.079306
1013,electropunk,0.079602
1014,classic czech pop,0.0451627906977
1015,stomp and whittle,0.044374
1016,slovak hip hop,0.236377777778
1017,beats,0.0888755102041
1018,brutal deathcore,0.115192
1019,finnish indie,0.0485229166667
1020,makossa,0.100895918367
1021,qawwali,0.051832
1022,kwaito house,0.113189795918
1023,witch house,0.0654918367347
1024,j-ambient,0.0448971428571
1025,atmospheric post rock,0.035136
1026,zillertal,0.0428326086957
1027,gothic alternative,0.101064
1028,funk carioca,0.233954166667
1029,latvian pop,0.0585446808511
1030,crust punk,0.150782
