,genre,danceability
686,mexican rock-and-roll,0.48746
687,portuguese rock,0.58487755102
688,post-doom metal,0.291282
689,colombian rock,0.70046
690,sertanejo tradicional,0.600857142857
691,brutal death metal,0.36816
692,soul flow,0.65092
693,salsa international,0.627163265306
694,seattle indie,0.46784
695,avantgarde metal,0.325606
696,hardcore,0.36124
697,nasheed,0.57706122449
698,gbvfi,0.45008
699,psychedelic doom,0.315522
700,celtic punk,0.38318
701,grindcore,0.305608163265
702,quebecois,0.56752
703,austropop,0.6221
704,brazilian ccm,0.463836734694
705,funky tech house,0.76104
706,riddim,0.651612244898
707,psychedelic trance,0.60322
708,speed garage,0.732916666667
709,baile funk,0.819775510204
710,classic russian rock,0.646244897959
711,freestyle,0.74629787234
712,j-poprock,0.52056
713,italian pop rock,0.568102040816
714,ebm,0.57316
715,math pop,0.46658
716,barnmusik,0.712224489796
717,spanish noise pop,0.4818125
718,warm drone,0.201916326531
719,soca,0.75276
720,nursery,0.60486
721,ethereal wave,0.275384
722,nintendocore,0.49916
723,african gospel,0.50488
724,garage pop,0.38042
725,world meditation,0.208432
726,destroy techno,0.69238
727,balearic,0.725244897959
728,progressive deathcore,0.41788
729,math rock,0.417916666667
730,laiko,0.66672
731,acid house,0.641081632653
732,albuquerque indie,0.56798
733,mande pop,0.6125
734,polish punk,0.599291666667
735,russiavision,0.71612
736,deep latin christian,0.51778
737,indie dream pop,0.52588
738,kindermusik,0.810318181818
739,emo punk,0.388853658537
740,entehno,0.64528
741,bassline,0.65534
742,k-indie,0.59824
743,classic finnish rock,0.456125
744,substep,0.53002
745,electrofox,0.55448
746,drill and bass,0.609959183673
747,turbo folk,0.68293877551
748,british alternative rock,0.47712
749,ambeat,0.69656
750,ska revival,0.688489795918
751,deep minimal techno,0.775155555556
752,bmore,0.73112244898
753,british indie rock,0.49508
754,canterbury scene,0.4599
755,musica para ninos,0.65642
756,romanian pop,0.71834
757,chill lounge,0.601591836735
758,rock catala,0.674127659574
759,free jazz,0.44956
760,argentine indie,0.623775510204
761,deep comedy,0.52894
762,twee pop,0.50084
763,classic garage rock,0.531142857143
764,volksmusik,0.547434782609
765,post-post-hardcore,0.45026
766,electro-industrial,0.56566
767,gypsy jazz,0.65648
768,oi,0.40824
769,latin electronica,0.69602
770,straight edge,0.37436
771,christian hardcore,0.41554
772,kabarett,0.670404255319
773,kraut rock,0.32884
774,steampunk,0.55562
775,singaporean pop,0.519959183673
776,swedish hard rock,0.450306122449
777,world fusion,0.61988
778,slovak pop,0.593551020408
779,dansktop,0.61
780,surf music,0.48416
781,thai idol,0.61632
782,gabba,0.4819375
783,gothic rock,0.511163265306
784,chaotic hardcore,0.30798
785,nu age,0.292156
786,bhangra,0.70896
787,canzone napoletana,0.3925
788,retro metal,0.323714285714
789,cello,0.351394
790,mandible,0.32963
791,ballroom,0.380748
792,ye ye,0.5211
793,tango,0.469346938776
794,swedish jazz,0.476795918367
795,dixieland,0.58238
796,old-time,0.553979166667
797,laboratorio,0.492279591837
798,mashup,0.661714285714
799,christelijk,0.433043478261
800,freakbeat,0.52052
801,punjabi,0.740469387755
802,alternative roots rock,0.4367
803,futurepop,0.56302
804,vancouver indie,0.54334
805,christian punk,0.52754
806,choro,0.6021
807,african rock,0.67472
808,deep talent show,0.56138
809,e6fi,0.41562
810,drone metal,0.326967346939
811,nordic house,0.682510204082
812,electro bailando,0.73998
813,early music,0.275384
814,psychobilly,0.47342
815,hawaiian,0.624
816,horror punk,0.4158
817,andean,0.55904
818,russian hip hop,0.693428571429
819,detroit techno,0.661489795918
