,genre,tempo
945,polish reggae,130.778734694
946,nordic folk,111.04392
947,hauntology,118.84166
948,vienna indie,129.798875
949,swamp pop,116.1869
950,modern uplift,134.6314375
951,catalan folk,124.599104167
952,chanson quebecois,112.010083333
953,girl group,118.02784
954,brazilian composition,110.75575
955,digital hardcore,122.73604
956,hip hop tuga,115.935617021
957,hip hop quebecois,122.150645833
958,deep neofolk,118.558285714
959,vintage french electronic,124.862918367
960,samba-enredo,120.399
961,vocaloid,140.12344898
962,italian jazz,104.10608
963,croatian pop,122.109479167
964,spanish folk,122.51038
965,hard minimal techno,132.90522449
966,vintage tango,116.09678
967,desert blues,122.01724
968,garage punk,131.63374
969,bounce,125.983113636
970,hiplife,114.8356875
971,mexican son,127.917291667
972,german oi,131.208142857
973,classical guitar,105.061326531
974,drumfunk,146.166
975,czech hip hop,123.438391304
976,appalachian folk,118.526408163
977,vietnamese pop,121.31162
978,balkan brass,123.90266
979,free improvisation,111.263148936
980,riot grrrl,141.37656
981,rosary,111.50548
982,electronica,112.58332
983,underground latin hip hop,111.791104167
984,karneval,133.393042553
985,serialism,94.1646530612
986,cante flamenco,112.501574468
987,tico,115.703877551
988,boogie-woogie,117.62486
989,morna,114.74896
990,ecuadoria,117.770387755
991,traditional rock 'n roll,118.17486
992,estonian pop,130.19068
993,tin pan alley,109.50796
994,german show tunes,119.9696
995,disco polo,128.61594
996,portuguese pop,116.52573913
997,mbalax,122.572530612
998,harpsichord,101.82958
999,deep soundtrack,90.92564
1000,polish indie,125.323571429
1001,cyber metal,126.695816327
1002,kids dance party,120.17624
1003,metal guitar,128.35902
1004,thrash core,132.64274
1005,outsider,116.816918367
1006,full on,139.641625
1007,composition d,93.219125
1008,deep liquid,164.062959184
1009,kompa,144.42042
1010,new age piano,100.6578
1011,heavy alternative,141.113959184
1012,jumpstyle,144.95956
1013,electropunk,123.02442
1014,classic czech pop,125.178023256
1015,stomp and whittle,124.5032
1016,slovak hip hop,119.238222222
1017,beats,127.367
1018,brutal deathcore,129.43312
1019,finnish indie,125.853041667
1020,makossa,123.095020408
1021,qawwali,116.05998
1022,kwaito house,121.555673469
1023,witch house,118.19044898
1024,j-ambient,104.771914286
1025,atmospheric post rock,114.97434
1026,zillertal,129.096543478
1027,gothic alternative,140.20622
1028,funk carioca,127.115854167
1029,latvian pop,120.827680851
1030,crust punk,131.41932
1031,oshare kei,127.079145833
1032,blackgaze,125.615938776
1033,psych gaze,119.117163265
1034,grunge pop,136.892714286
1035,orquesta tropical,130.447204082
1036,ghazal,104.12188
1037,classic venezuelan pop,126.767163265
1038,rva indie,122.26446
1039,irish indie,108.52442
1040,denver indie,125.51204
1041,world chill,117.550102041
1042,deep gothic post-punk,137.23574
1043,ethiopian pop,120.511061224
1044,deep rai,113.112652174
1045,electro dub,125.996478261
1046,traditional ska,131.24574
1047,hungarian hip hop,112.322022222
1048,fake,118.05378
1049,beatdown,122.33626
1050,deep acoustic pop,121.905
1051,drone folk,113.947265306
1052,canadian hip hop,106.168204082
1053,louisville indie,124.59634
1054,dirty texas rap,129.537571429
1055,neofolk,115.551979592
1056,neo-rockabilly,128.58784
1057,judaica,123.4658
1058,deep flow,123.560157895
1059,japanese psychedelic,118.1364
1060,ragtime,117.143714286
1061,anarcho-punk,133.62512
1062,workout,127.55864
1063,austrian hip hop,119.388270833
1064,guidance,107.66142
1065,traditional british folk,113.031979592
1066,calypso,113.89492
1067,orquesta tipica,119.1728
1068,swiss hip hop,121.9544375
