,genre,valence
1017,beats,0.545697959184
1018,brutal deathcore,0.158636
1019,finnish indie,0.43849375
1020,makossa,0.810367346939
1021,qawwali,0.51526
1022,kwaito house,0.543657142857
1023,witch house,0.253853061224
1024,j-ambient,0.269971428571
1025,atmospheric post rock,0.12937
1026,zillertal,0.911826086957
1027,gothic alternative,0.485824
1028,funk carioca,0.756208333333
1029,latvian pop,0.538085106383
1030,crust punk,0.35083
1031,oshare kei,0.538270833333
1032,blackgaze,0.136032653061
1033,psych gaze,0.432293877551
1034,grunge pop,0.449204081633
1035,orquesta tropical,0.827551020408
1036,ghazal,0.60872
1037,classic venezuelan pop,0.707224489796
1038,rva indie,0.462386
1039,irish indie,0.417602
1040,denver indie,0.51532
1041,world chill,0.340165306122
1042,deep gothic post-punk,0.478046
1043,ethiopian pop,0.707448979592
1044,deep rai,0.777173913043
1045,electro dub,0.524432608696
