,genre,acousticness
868,deep latin alternative,0.276875229167
869,power-pop punk,0.022717002
870,ok indie,0.354866592
871,deep chill,0.389941666667
872,classic turkish pop,0.5012486
873,french movie tunes,0.484410183673
874,bubble trance,0.0528276979592
875,goregrind,9.51918367347e-05
876,j-indie,0.038746698
877,vintage italian soundtrack,0.830662
878,melodic hard rock,0.050143284
879,deep tech house,0.01174615
880,dark cabaret,0.4033814
881,shibuya-kei,0.22999391875
882,deep pop punk,0.0284458125
883,folkmusik,0.427195084444
884,power blues-rock,0.171052204
885,rai,0.241394081633
886,p funk,0.22763072
887,swedish punk,0.0216950652174
888,russian punk,0.19854976
889,spanish reggae,0.262759
890,black thrash,0.002841944
891,fidget house,0.0185628571429
892,shimmer psych,0.2845373906
893,musica nativista,0.41682
894,albanian pop,0.136475
895,horrorcore,0.0936977
896,basque rock,0.104738684681
897,violin,0.951681818182
898,nu skool breaks,0.04555418
899,melodic power metal,0.014035611
900,turkish classical,0.772755102041
901,highlife,0.32346
902,belly dance,0.2419568
903,string quartet,0.69618
904,classic belgian pop,0.398
905,indie psych-pop,0.352899883673
906,southern gospel,0.405716734694
907,chiptune,0.2551514536
908,soukous,0.317224
909,lds,0.912428571429
910,instrumental post rock,0.526312979592
911,irish country,0.603072857143
912,brass band,0.097248094
913,classic polish pop,0.470833744681
914,bouncy house,0.03412198
915,vintage swedish pop,0.649427659574
916,timba,0.432712
917,classic peruvian pop,0.4917
918,renaissance,0.95414
919,acid techno,0.2736469
920,norwegian gospel,0.58662
921,yugoslav rock,0.319348367347
922,dominican pop,0.489124
923,classic icelandic pop,0.33409606383
924,arab folk,0.705573541667
925,southern soul blues,0.22435472
926,perth indie,0.2029916
927,neue deutsche welle,0.194984928571
928,swiss rock,0.19323372
929,zouk,0.305124
930,deep melodic metalcore,0.00532327
931,sega,0.157544061224
932,mod revival,0.061360274
933,pakistani pop,0.414951020408
934,deep soul house,0.11692276
935,french folk pop,0.512238541667
936,deep christian rock,0.4304542
937,c86,0.208031486
938,rio de la plata,0.411492914583
939,native american,0.878242081633
940,college a cappella,0.443182
941,uk dub,0.137795714286
942,jazz bass,0.462708
943,miami bass,0.04445128
944,ambient idm,0.51568224
945,polish reggae,0.173861326531
946,nordic folk,0.334849212
947,hauntology,0.52632364
948,vienna indie,0.395814604167
949,swamp pop,0.463716
950,modern uplift,0.0677190625
951,catalan folk,0.574675208333
952,chanson quebecois,0.477511875
953,girl group,0.469618
954,brazilian composition,0.915125
955,digital hardcore,0.0686001598
956,hip hop tuga,0.306188680851
